"Purchase_Amount","Time_Spent_on_Website","Number_of_products_browsed","Pictures","Shipping_Time","Review_rating","Find_website","Ease_of_purchase","Age","Device"
571.73,700,18,4.5,4.02,4,"Search_Engine",4,37,"PC"
622.34,1237,32,2.3,1.98,3.8,"Social_Media_Advertisement",4,59,"PC"
689.16,880,22,4.5,2.83,4.6,"Search_Engine",4,51,"PC"
628.4,739,16,2.8,2.4,3.4,"Social_Media_Advertisement",4,37,"PC"
604.64,779,16,2.8,2.53,4.2,"Search_Engine",NA,50,"PC"
596.4,535,13,3.2,4.77,4.3,"Friends_or_Family",4,33,"Mobile"
574.24,825,16,3.9,3.64,3.7,"Search_Engine",3,50,"PC"
676.4,1035,24,2,3.84,4.5,"Search_Engine",4,40,"PC"
664.14,739,17,3,3.3,4.6,"Search_Engine",NA,38,"PC"
520.91,736,18,2.2,2.89,4,"Search_Engine",4,38,"PC"
648.76,1089,26,3.2,3.48,3.1,"Friends_or_Family",5,37,"Mobile"
599.01,1154,27,3.3,3.93,4.1,"Search_Engine",4,49,"PC"
559.12,779,18,4.9,3.44,3.6,"Other",4,41,"Mobile"
439.79,1186,26,4.4,2.29,3.4,"Social_Media_Advertisement",4,69,"PC"
752.78,1205,28,3.6,4.71,4.5,NA,4,40,"PC"
543.4,983,24,3,3.76,3.4,"Search_Engine",NA,53,"PC"
726.07,1346,32,2.5,2.22,3.9,NA,4,37,"PC"
688.67,1001,24,1.9,1.85,4.7,"Social_Media_Advertisement",5,34,"PC"
616.85,1287,32,2.2,4.38,3,"Search_Engine",5,35,"PC"
402.1,401,12,2,3.73,4.4,NA,NA,29,"PC"
534.1,1086,27,4.9,4.12,3.2,"Search_Engine",5,61,"PC"
717.51,1341,34,3.1,2.52,4.2,"Search_Engine",4,61,"PC"
644.52,1416,31,3.8,2.46,3.2,NA,4,59,"PC"
561.96,950,22,3.2,3.91,4,"Search_Engine",5,53,"Mobile"
655.44,1097,26,3.8,1.24,4.2,"Search_Engine",4,31,"PC"
576.13,897,20,2.9,3.2,3.5,"Social_Media_Advertisement",4,37,"PC"
518.74,557,15,1.1,4.18,4.3,"Social_Media_Advertisement",3,51,"PC"
720.86,1439,31,2.1,2.87,4.6,"Search_Engine",5,59,"PC"
552.56,551,13,2.9,3.94,3.8,"Search_Engine",4,49,"PC"
560.68,1002,24,1.8,3.15,3.3,"Search_Engine",4,59,"PC"
829.94,1502,37,2,3.03,4.6,"Search_Engine",4,40,"PC"
570.47,863,21,4.7,1.36,4,"Friends_or_Family",NA,59,"PC"
618.34,801,18,6.7,5.65,3.5,"Search_Engine",4,42,"PC"
617.92,868,20,2.2,3.49,4.2,"Search_Engine",4,37,"PC"
721.68,991,23,3.3,4.81,4.2,"Search_Engine",4,44,"PC"
508.88,-999,-999,2.5,3.99,3.8,"Social_Media_Advertisement",4,58,"PC"
509.28,518,13,3.3,1.85,2.9,"Friends_or_Family",4,52,"Mobile"
645.18,897,22,3.1,2.34,4.1,"Social_Media_Advertisement",4,56,"PC"
575,834,21,3.9,4.16,3.6,"Social_Media_Advertisement",4,38,"Mobile"
772.48,1448,31,3.2,1.44,4.3,NA,NA,35,"PC"
544.57,984,26,1.6,3.85,4.6,"Social_Media_Advertisement",4,58,"Mobile"
468.1,450,12,4.2,2.99,3.8,"Social_Media_Advertisement",4,31,"PC"
532.16,777,17,3.6,3.2,3.9,"Search_Engine",4,60,"PC"
622.94,1029,27,3.5,1.5,4.4,"Social_Media_Advertisement",4,29,"PC"
356.85,263,5,3.2,2.5,4.3,"Social_Media_Advertisement",3,62,"PC"
556.18,807,20,3.5,2.24,3.4,"Search_Engine",4,48,"Mobile"
611.34,944,22,4.1,3.12,4.2,"Social_Media_Advertisement",4,45,"PC"
529.15,712,18,3.6,2.8,3.3,"Search_Engine",5,34,"PC"
726.58,1014,24,2.9,2.77,5,"Friends_or_Family",5,45,"PC"
701.7,1092,24,3.1,3.14,4.6,"Search_Engine",NA,41,"PC"
384.18,793,20,2.1,3.7,4.3,NA,4,68,"Mobile"
639.03,892,20,2.4,2.63,4,"Search_Engine",NA,44,"PC"
612.1,901,18,3.7,3.87,3.6,"Social_Media_Advertisement",5,52,"PC"
545.12,424,9,3,3.19,4.6,"Social_Media_Advertisement",4,47,"PC"
747.54,1345,32,2.5,2.84,3.9,"Friends_or_Family",4,37,"Mobile"
583.88,745,15,2,3.02,3.9,NA,3,41,"PC"
520.1,574,17,1.8,2.93,4,NA,5,53,"PC"
510.6,602,14,3.6,3.35,4.9,"Social_Media_Advertisement",4,60,"Mobile"
468.6,321,9,2.9,1.21,4.5,"Social_Media_Advertisement",4,47,"PC"
622.68,916,22,2.4,3.23,4.4,"Search_Engine",4,57,"PC"
699.96,950,21,2.9,2.35,4.3,"Social_Media_Advertisement",4,36,"PC"
655.52,934,21,2.7,2.11,3.6,"Search_Engine",4,43,"PC"
598.46,836,21,4.1,2.07,3.7,"Search_Engine",4,36,"PC"
580,1478,37,2.4,3.49,3.4,"Social_Media_Advertisement",4,61,"Mobile"
695.4,1061,26,4.1,2.21,4.4,"Friends_or_Family",3,52,"PC"
447.92,333,7,4,3,3.7,"Social_Media_Advertisement",4,44,"Mobile"
604.68,-999,-999,2.3,1.36,4.6,"Search_Engine",4,43,"PC"
649.56,923,21,4.6,3.54,4.5,NA,NA,41,"Mobile"
759.84,-999,-999,3,1.05,3.9,"Search_Engine",4,45,"Mobile"
545.43,585,15,3.1,5.26,4,"Search_Engine",4,40,"Mobile"
652.37,830,21,2.9,2.72,3.7,"Social_Media_Advertisement",4,34,"PC"
668.9,1187,29,3.2,2.14,4.2,"Search_Engine",4,36,"PC"
399.86,180,2,3.3,3.58,3.4,"Search_Engine",4,55,"PC"
584.69,863,20,3.5,1.69,3.9,"Search_Engine",4,41,"Mobile"
645,1053,24,3.7,2.53,3.4,"Search_Engine",NA,51,"Mobile"
610.4,851,19,4.1,2.87,4.7,"Social_Media_Advertisement",4,42,"Mobile"
540.43,1119,27,1.8,2.7,4.2,"Search_Engine",2,65,"PC"
631.55,1176,26,3.2,1.5,4.1,"Search_Engine",5,30,"Mobile"
581.58,646,17,3.6,4.18,4.2,"Search_Engine",5,50,"Mobile"
587.9,514,14,2.8,4.86,3.7,"Search_Engine",4,42,"PC"
695.73,1088,23,3,1.29,4.7,"Search_Engine",4,37,"PC"
646.14,988,23,1.4,2.02,3.8,"Search_Engine",4,50,"PC"
599.58,658,17,2,2.85,3.6,"Social_Media_Advertisement",4,44,"Mobile"
618.6,542,12,2.9,2.13,4.5,"Friends_or_Family",5,38,"PC"
528.24,396,10,3,2.33,4.2,NA,NA,43,"Mobile"
711.76,1146,28,4,3.69,4,"Social_Media_Advertisement",4,43,"PC"
556.82,934,21,4.3,1.36,3.8,"Social_Media_Advertisement",5,28,"PC"
649.64,905,23,1.9,3.12,4.1,"Search_Engine",4,33,"PC"
563.06,713,17,3.8,2.85,3.5,"Search_Engine",3,48,"PC"
699.28,1012,25,2.2,3.2,4.6,"Friends_or_Family",3,46,"PC"
619.28,622,15,1.8,2.38,3.8,"Search_Engine",4,42,"Mobile"
671.49,934,20,4.2,5.18,4.4,"Social_Media_Advertisement",4,36,"PC"
523.16,1137,27,2.8,1.11,3.3,"Search_Engine",5,62,"PC"
497.4,279,6,2.5,2.98,3.9,"Social_Media_Advertisement",NA,44,"PC"
606.06,802,23,2.4,2.51,4.7,"Social_Media_Advertisement",4,49,"PC"
433.52,236,7,2.1,4.8,4.1,"Social_Media_Advertisement",NA,34,"PC"
628.28,854,23,2.6,3.28,4.3,"Search_Engine",3,41,"PC"
613.92,910,23,2.8,2.95,3,"Social_Media_Advertisement",4,42,"Mobile"
589.17,423,9,3.5,2.96,4.8,"Social_Media_Advertisement",3,38,"PC"
517.75,525,9,2.8,6.4,3.8,"Search_Engine",4,46,"PC"
773.02,1104,25,3.5,3.32,4.7,"Search_Engine",5,41,"PC"
651.52,1066,25,2.8,1.17,4.3,"Search_Engine",3,52,"PC"
733.04,1077,22,3.9,3.81,3.3,NA,4,47,"Mobile"
470.18,553,14,3.7,2.97,3.2,"Search_Engine",4,40,"PC"
611.98,771,17,2.4,2.47,3.9,"Search_Engine",4,48,"PC"
501.33,462,8,4.2,3.4,3.1,"Search_Engine",4,58,"PC"
589.62,935,22,5.3,4.55,4,"Search_Engine",4,41,"Mobile"
734.66,1145,27,2.4,1.79,4.3,NA,4,42,"PC"
537.11,649,14,1.7,2.23,4.3,"Social_Media_Advertisement",4,58,"PC"
393.4,180,8,2.5,3.25,3.6,"Social_Media_Advertisement",5,41,"PC"
648.92,1162,28,3.3,3.75,3.4,"Search_Engine",4,45,"PC"
403.3,180,2,4.7,3.64,3.9,"Other",3,29,"PC"
584.18,1109,25,4.4,4.8,4.3,"Search_Engine",3,65,"PC"
532.19,796,17,2.6,3.76,4.5,"Search_Engine",4,27,"PC"
623.46,1172,28,2,2.3,3.7,"Search_Engine",3,34,"PC"
560.66,1063,27,1.5,2.02,3.5,"Search_Engine",4,62,"PC"
780.52,1440,33,3.5,2.68,4,"Social_Media_Advertisement",3,49,"PC"
463.53,585,17,1.6,3.01,4,"Search_Engine",5,34,"PC"
593.3,867,19,2.3,3.07,4.1,"Search_Engine",4,48,"PC"
598.55,770,19,2.3,2.83,4.2,"Social_Media_Advertisement",4,30,"PC"
688.66,1140,26,5.3,2.68,4,"Search_Engine",3,36,"Mobile"
591.07,952,24,3.1,2.08,3.8,"Search_Engine",4,29,"PC"
534.06,545,15,2.8,3.09,3.4,"Search_Engine",4,46,"Mobile"
482.92,486,12,2.1,3.52,3,"Search_Engine",4,51,"PC"
428.18,622,18,2.8,4.29,4.1,"Friends_or_Family",4,21,"PC"
587.64,798,17,2.4,3.49,3.9,"Search_Engine",NA,52,"PC"
660.3,959,22,3.3,1.7,3.9,"Social_Media_Advertisement",3,38,"PC"
579.1,739,18,2,3.48,3.9,"Friends_or_Family",NA,53,"PC"
484.78,408,11,2.6,2,3.7,"Search_Engine",4,52,"PC"
518.22,849,19,2.5,1.36,3.5,"Search_Engine",4,33,"PC"
695.04,1178,26,4.6,4.06,4.7,"Social_Media_Advertisement",4,35,"PC"
626.22,740,18,2.6,2.15,4.1,NA,NA,42,"PC"
479.76,495,9,3.2,2.75,3.5,"Friends_or_Family",4,30,"PC"
554.22,573,13,2,4.25,4.5,"Social_Media_Advertisement",5,31,"PC"
581.07,602,13,2.4,4.04,4.2,"Search_Engine",4,50,"PC"
418.42,180,6,3.6,2.44,3.4,"Search_Engine",3,42,"PC"
658.2,1078,24,4.3,1.36,4.5,"Social_Media_Advertisement",4,40,"PC"
655.99,1056,26,2.7,2.91,3.9,"Search_Engine",NA,48,"PC"
575.81,678,15,4.1,3.02,4,"Search_Engine",NA,44,"PC"
659.92,1017,23,4.6,3.9,4.3,"Search_Engine",4,33,"PC"
709.42,1028,25,3.6,2.9,4.1,"Search_Engine",5,50,"Mobile"
538.26,-999,-999,3.1,1.73,4.1,"Social_Media_Advertisement",3,57,"PC"
545.32,726,17,1.5,3.38,4,"Social_Media_Advertisement",NA,54,"Mobile"
536.02,1025,22,4.1,2.86,3.2,NA,4,29,"PC"
505.56,-999,-999,3,1.76,3.9,"Search_Engine",4,47,"PC"
697.93,911,19,3.4,3.75,4.9,"Search_Engine",4,38,"PC"
511.72,277,7,2.8,2.41,4,"Search_Engine",4,46,"Mobile"
613.7,871,20,1.5,2.7,3.8,"Search_Engine",4,43,"Mobile"
657.37,974,19,3.3,3.14,4.3,NA,5,46,"PC"
761.83,1259,29,3.3,4.17,4,"Social_Media_Advertisement",4,40,"Mobile"
708.24,1079,25,1.4,1.01,3.3,"Search_Engine",5,47,"PC"
710.55,934,21,4.5,2.31,4.6,"Social_Media_Advertisement",5,46,"Mobile"
645.9,1046,26,1.5,4.2,3,"Social_Media_Advertisement",4,42,"PC"
602.18,681,16,2,2.68,4.6,"Search_Engine",5,49,"PC"
449.8,673,15,3.1,4.95,3.7,"Social_Media_Advertisement",3,25,"PC"
545.81,648,17,1.8,4.44,2.8,"Search_Engine",3,42,"PC"
575.54,774,19,1.8,2.96,4.3,"Search_Engine",4,51,"PC"
688.3,-999,-999,2.7,1.98,4.1,"Search_Engine",4,44,"Mobile"
612.27,1252,30,3.4,2.61,4.4,"Search_Engine",NA,61,"PC"
540.23,991,23,2.2,2.37,3.8,NA,5,33,"Mobile"
517.74,402,9,4.5,1.09,3.7,"Friends_or_Family",4,50,"Mobile"
680.82,921,21,2.9,4.12,3.8,"Friends_or_Family",4,49,"PC"
581.88,694,15,2.8,4.4,4.4,"Search_Engine",NA,37,"PC"
476.82,906,18,4.1,4.71,3.2,NA,4,27,"PC"
624.36,615,15,4.4,3.59,3.8,"Search_Engine",4,44,"PC"
557.16,702,14,2.2,3.66,4.5,"Other",4,40,"PC"
662.5,978,23,2.8,3.47,4.7,"Social_Media_Advertisement",4,48,"PC"
565.42,800,20,2.8,4.38,3.4,"Search_Engine",4,57,"Mobile"
656.18,949,24,3,2.81,3.8,"Social_Media_Advertisement",NA,41,"Mobile"
666.9,804,18,4.6,4.33,4.3,"Search_Engine",4,53,"PC"
621.3,1018,24,4.6,1.51,4.5,"Social_Media_Advertisement",4,58,"Mobile"
252.54,180,2,2.7,4.04,3.5,"Search_Engine",4,69,"PC"
634.51,850,18,2.5,2.97,4.2,"Search_Engine",NA,39,"PC"
664.28,1108,28,3.2,3.71,4.7,"Search_Engine",3,56,"Mobile"
641.45,984,23,3.4,3.14,4.1,"Search_Engine",5,41,"PC"
657.71,815,16,3.2,2.19,4.8,"Search_Engine",5,32,"Mobile"
454.46,526,11,4.1,2.98,4.4,"Social_Media_Advertisement",4,29,"Mobile"
588,943,23,3.9,2.95,4,"Social_Media_Advertisement",5,55,"PC"
663.71,738,19,1.9,3.03,4.9,"Search_Engine",4,41,"PC"
466.24,844,18,3.3,2.74,3.4,"Social_Media_Advertisement",5,62,"PC"
573.2,644,16,2.8,1.42,4.3,"Search_Engine",3,52,"PC"
483.34,602,15,2.9,2.96,3.6,NA,NA,58,"PC"
750.96,1243,28,4.6,2.93,3.1,NA,NA,50,"Mobile"
719.55,1082,23,1.2,4.3,4,"Friends_or_Family",NA,45,"PC"
680.9,1147,25,3.6,3.49,4.4,"Social_Media_Advertisement",4,37,"PC"
416.52,553,13,3.6,2.93,3.8,"Search_Engine",4,60,"PC"
488.1,538,12,3.6,2.94,3.5,"Search_Engine",3,34,"PC"
525.95,947,22,2.4,4.74,3.6,"Search_Engine",4,38,"PC"
560.1,763,18,3.2,2.73,3.8,"Social_Media_Advertisement",4,32,"Mobile"
582.58,1007,24,1.8,2.6,4.1,"Search_Engine",4,55,"Mobile"
521.52,685,16,2.1,4.4,4.9,NA,4,60,"PC"
518.12,1148,25,2.5,2.76,3.2,"Social_Media_Advertisement",4,26,"PC"
630.92,954,21,3.6,4.12,4.1,"Friends_or_Family",4,37,"Mobile"
678.82,1124,26,4.1,2.24,4,"Social_Media_Advertisement",4,43,"PC"
571.28,1080,26,2,2.96,4.2,NA,4,27,"PC"
630.22,986,24,3.3,2.91,3.9,"Social_Media_Advertisement",4,49,"PC"
581.91,668,15,3.1,4.22,5,"Social_Media_Advertisement",3,37,"PC"
670.64,940,22,2,1.71,3.6,"Social_Media_Advertisement",4,46,"PC"
593.2,709,18,2.5,2.81,3.8,"Social_Media_Advertisement",4,56,"PC"
751.74,1450,33,3.2,1.36,3.4,"Social_Media_Advertisement",NA,34,"PC"
495.02,804,20,3,1.36,4.9,"Social_Media_Advertisement",5,25,"PC"
558.24,859,21,4.3,2.4,3.7,"Search_Engine",4,52,"Mobile"
487.74,180,3,2.9,2.01,3.9,"Social_Media_Advertisement",4,41,"Mobile"
598.96,826,20,3.5,4.19,4.1,"Search_Engine",4,44,"PC"
528.42,663,13,2.1,1.65,3.9,NA,4,56,"Mobile"
550.92,644,15,2.2,2.78,3.7,"Social_Media_Advertisement",5,42,"Mobile"
569.34,1122,27,3.7,2.88,3,"Search_Engine",5,61,"PC"
606.9,792,19,2,2.77,4.3,"Social_Media_Advertisement",NA,33,"PC"
747.46,1387,30,4.5,4.08,4.6,"Search_Engine",4,52,"PC"
449.26,576,16,2.2,3.74,3.8,"Search_Engine",4,49,"PC"
463.82,724,18,2.6,2.52,3.9,NA,4,26,"Mobile"
561.9,351,11,2.7,4.2,4.3,"Search_Engine",4,48,"Mobile"
724.8,1589,39,4,3.47,4.1,"Other",3,34,"Mobile"
556.78,802,17,3,3.94,4.6,"Social_Media_Advertisement",4,52,"PC"
638.58,817,17,2.1,3.67,4.7,"Social_Media_Advertisement",NA,51,"Mobile"
509.66,888,20,4.6,2.99,3.7,"Search_Engine",3,57,"PC"
557.09,594,15,2.8,1.36,4.1,"Search_Engine",NA,38,"PC"
510.35,563,14,3.1,4.02,2.9,"Social_Media_Advertisement",NA,50,"PC"
690.34,1170,27,2,2.3,3.2,"Search_Engine",4,42,"PC"
718.56,1105,27,1.5,2.75,3.6,NA,4,43,"PC"
643.51,1139,26,1.4,3.17,4.6,"Search_Engine",4,56,"PC"
635.58,850,19,3.8,3.33,4.2,NA,4,40,"PC"
366.33,580,14,3.8,2.98,3,"Search_Engine",3,27,"PC"
657.28,930,21,2.8,4.22,4.8,"Search_Engine",4,57,"PC"
615.63,765,21,2.4,2.31,3.5,"Search_Engine",4,37,"PC"
466.1,297,8,4,4.06,3,NA,3,37,"Mobile"
683,975,22,4,3.76,4.7,NA,NA,52,"PC"
742.31,1271,29,4.6,2.85,4.6,"Search_Engine",3,47,"PC"
566.56,714,15,3.1,2.13,4.9,"Social_Media_Advertisement",4,57,"PC"
481.01,349,9,4.2,3.85,3.9,"Search_Engine",4,32,"PC"
584.04,779,21,3.6,4.01,3.3,"Social_Media_Advertisement",4,37,"PC"
661.22,1631,34,3,3.38,4,"Search_Engine",4,61,"PC"
560.57,533,11,1.4,2.92,4.9,NA,4,52,"PC"
479.52,354,8,3.1,1.5,3.6,NA,4,50,"Mobile"
664.25,943,22,5,1.93,4.3,"Social_Media_Advertisement",3,51,"Mobile"
613.28,860,19,3.9,2.98,4,"Search_Engine",4,42,"Mobile"
585.16,807,19,2.9,1.78,4.5,"Search_Engine",5,58,"PC"
668.34,1023,22,5.4,3.61,4.2,"Social_Media_Advertisement",4,56,"PC"
608.33,1247,30,3.3,3.36,3.8,"Search_Engine",NA,26,"PC"
617.39,568,12,2.5,2.21,3.8,"Search_Engine",4,45,"PC"
397.6,517,12,4.3,3.56,2.9,"Search_Engine",5,66,"PC"
706.98,1259,29,3.1,4.73,4.2,"Social_Media_Advertisement",4,52,"PC"
748.84,1303,33,1.6,1.92,3.1,"Search_Engine",4,51,"Mobile"
642.58,1003,24,2.1,2.02,3.6,"Friends_or_Family",3,53,"PC"
659,942,22,3.3,2,3.4,NA,4,38,"PC"
395.84,753,19,3.8,3.77,3.3,"Social_Media_Advertisement",3,68,"Mobile"
490.53,-999,-999,4,4.14,4,"Search_Engine",4,31,"PC"
751.63,1081,25,3.5,2.91,3.1,"Social_Media_Advertisement",4,49,"PC"
542.91,-999,-999,4.5,3.92,3.7,"Search_Engine",4,58,"PC"
699.43,1200,31,5.2,2.58,4.1,"Social_Media_Advertisement",4,41,"PC"
665.37,1056,24,2.9,2.68,3.9,"Social_Media_Advertisement",3,44,"PC"
677.7,1111,25,2.9,1.53,4,"Search_Engine",4,44,"PC"
511.07,676,16,2.8,3.48,3.8,"Search_Engine",4,44,"PC"
564.38,715,19,4.2,3.4,3.6,"Social_Media_Advertisement",NA,42,"PC"
680.65,1216,28,3.3,4.18,3.8,"Search_Engine",4,39,"PC"
580.96,720,18,5.2,2.11,3.8,"Social_Media_Advertisement",NA,36,"PC"
601.52,720,15,2.8,4.37,4.9,"Search_Engine",4,52,"Mobile"
648.2,819,21,2.5,2.8,3.5,"Search_Engine",4,50,"PC"
628.65,1025,22,3.8,4.79,3.5,"Social_Media_Advertisement",3,43,"PC"
522.93,798,19,2,4.06,4.2,"Search_Engine",4,58,"PC"
625.6,1283,31,4.3,3.93,3.6,"Social_Media_Advertisement",3,58,"PC"
718.1,1182,29,3.8,4.6,4.5,"Search_Engine",4,39,"Mobile"
578.12,508,14,3.4,3.18,4,NA,4,43,"PC"
712.3,1162,29,2.7,3.93,3.8,"Search_Engine",4,43,"PC"
735.37,1357,29,3.9,2.81,4.4,"Social_Media_Advertisement",4,58,"Mobile"
637.69,1255,27,3.6,2.21,3.4,"Search_Engine",4,32,"Mobile"
613.3,880,22,3.2,2.94,3.2,"Search_Engine",3,41,"PC"
558.46,594,15,4.2,3.63,4.4,"Search_Engine",4,49,"PC"
245.35,770,19,3.6,4.43,4.8,"Social_Media_Advertisement",4,74,"PC"
443.4,180,2,1.9,1.7,4.2,"Search_Engine",4,54,"PC"
530.94,775,16,2.8,1.52,3.9,"Search_Engine",NA,32,"Mobile"
536.06,541,16,3.4,2.68,4.5,"Search_Engine",5,42,"PC"
792.44,1312,32,2,3.38,4.3,"Search_Engine",4,40,"Mobile"
543.54,788,18,2.9,2.93,3.1,"Search_Engine",4,46,"PC"
630.64,947,20,4.2,3.13,4.1,"Search_Engine",3,34,"PC"
531.02,604,14,2.1,2.75,4.6,"Search_Engine",3,55,"Mobile"
767.72,1231,30,2.3,3.44,4.3,"Search_Engine",4,40,"Mobile"
545.59,685,15,3.1,3.69,3.7,"Social_Media_Advertisement",5,52,"PC"
650.8,1005,24,3,2.29,4.4,"Search_Engine",4,49,"PC"
492.77,418,8,3.3,3.79,3.7,"Social_Media_Advertisement",4,50,"PC"
733.76,1066,26,2.1,3.76,3.7,"Social_Media_Advertisement",NA,50,"PC"
625.98,909,22,3.3,4.05,4.9,"Social_Media_Advertisement",4,61,"Mobile"
738.64,1171,27,3.3,2.31,3.9,"Search_Engine",NA,41,"Mobile"
617.78,1043,24,3.2,1.58,3.3,NA,4,53,"Mobile"
791.9,1372,29,3.4,1.24,3.5,"Search_Engine",4,47,"PC"
676.17,1330,32,2.7,1.02,4,"Search_Engine",3,41,"PC"
608.12,760,19,5.4,2.99,4.5,"Friends_or_Family",4,39,"PC"
531.11,910,21,2.5,3.35,3.9,"Social_Media_Advertisement",4,57,"PC"
779.28,1643,39,3.4,1.85,4.4,"Search_Engine",4,55,"PC"
716.92,1356,31,3.9,1.69,3.3,"Social_Media_Advertisement",4,36,"Mobile"
546.14,714,17,3.6,2.01,4.3,"Search_Engine",4,35,"Mobile"
627.88,723,18,4.3,3.95,4.3,"Social_Media_Advertisement",NA,49,"Mobile"
562.69,960,24,2.3,1.03,4.4,"Search_Engine",3,60,"PC"
570.95,544,14,2.2,2.38,3.6,"Search_Engine",NA,48,"PC"
547.89,758,19,4.7,2.64,4.2,"Search_Engine",5,28,"Mobile"
481.32,232,5,1.3,2.2,4.5,"Search_Engine",4,37,"PC"
381.8,819,21,1.4,3.04,4,"Search_Engine",NA,20,"PC"
707.91,1247,30,2.8,5.36,3.7,"Social_Media_Advertisement",NA,37,"PC"
463.11,663,17,3.1,2.65,4.1,"Search_Engine",4,26,"PC"
765.45,1296,32,3.2,2.42,3.4,"Social_Media_Advertisement",4,39,"Mobile"
522.4,803,17,3.7,3.71,2.9,"Social_Media_Advertisement",4,49,"PC"
561.29,713,17,3,2.7,4.3,"Search_Engine",4,56,"PC"
538.5,581,15,3.8,3.11,4.1,"Friends_or_Family",3,48,"Mobile"
622.89,760,18,5.3,4.67,3.7,"Other",4,40,"PC"
622.48,726,18,1.6,1.75,3.7,"Social_Media_Advertisement",5,40,"Mobile"
601.33,670,15,3.5,3.26,4.1,"Search_Engine",5,48,"Mobile"
418.78,660,17,4,1.51,2.9,"Search_Engine",4,28,"PC"
597.64,576,14,3.6,4.12,4.5,"Search_Engine",4,50,"PC"
554.62,879,24,2.3,2.69,2.9,"Search_Engine",3,40,"PC"
645.04,899,23,4.9,4.09,4.5,"Social_Media_Advertisement",4,51,"PC"
382.75,834,21,3.2,2.41,4.1,"Social_Media_Advertisement",4,16,"PC"
645.38,655,16,4.1,1.7,3.8,"Social_Media_Advertisement",4,42,"Mobile"
